TOPIC,TAXONOMY,CLASSIFICATION,GROUP,SUBGROUP,TIME_PERIOD,ESTIMATE,ESTIMATE_LCI,ESTIMATE_UCI,Barrier_Type
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Disability status,With disability,2020,13.1,11.4,15.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Disability status,With disability,2021,12.3,10.9,13.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Disability status,With disability,2022,12.2,10.6,13.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Disability status,With disability,2023,13.0,11.5,14.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Disability status,With disability,2024,14.2,12.7,15.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Disability status,Without disability,2019,8.4,8.0,8.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Disability status,Without disability,2020,7.0,6.6,7.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Disability status,Without disability,2021,6.6,6.3,7.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Disability status,Without disability,2022,6.5,6.1,6.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Disability status,Without disability,2023,6.6,6.2,7.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Disability status,Without disability,2024,8.0,7.6,8.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,2019,12.2,11.5,13.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,2020,10.7,9.9,11.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,2021,10.0,9.4,10.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,2022,9.9,9.2,10.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,2023,10.0,9.4,10.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,2024,11.6,10.9,12.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,2019,6.8,6.4,7.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,2020,5.3,4.8,5.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,2021,4.9,4.5,5.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,2022,4.7,4.3,5.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,2023,4.9,4.5,5.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,2024,6.0,5.5,6.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Married,2019,7.2,6.7,7.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Married,2020,5.9,5.4,6.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Married,2021,6.0,5.5,6.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Married,2022,5.3,4.8,5.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Married,2023,6.1,5.6,6.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Married,2024,7.5,7.0,8.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Divorced or separated,2019,14.0,12.7,15.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Divorced or separated,2020,11.2,10.0,12.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Divorced or separated,2021,9.6,8.6,10.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Divorced or separated,2022,8.9,7.9,10.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Divorced or separated,2023,9.6,8.5,10.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Divorced or separated,2024,10.9,9.7,12.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Widowed,2019,5.0,4.1,6.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Widowed,2020,4.6,3.5,5.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Widowed,2021,4.1,3.3,5.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Widowed,2022,5.3,4.1,6.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Widowed,2023,4.0,3.2,5.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Widowed,2024,4.6,3.7,5.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Living with a partner,2019,16.0,14.2,17.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Living with a partner,2020,13.6,11.7,15.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Living with a partner,2021,12.1,10.4,14.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Living with a partner,2022,11.8,10.1,13.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Living with a partner,2023,11.3,9.7,13.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Living with a partner,2024,13.1,11.5,14.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Never married,2019,9.0,8.1,10.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Never married,2020,7.9,7.0,8.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Never married,2021,7.4,6.6,8.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Never married,2022,8.3,7.5,9.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Never married,2023,7.9,7.1,8.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Marital status,Never married,2024,9.5,8.5,10.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Nativity,U.S.-born,2019,8.7,8.2,9.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Nativity,U.S.-born,2020,7.3,6.9,7.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Nativity,U.S.-born,2021,7.2,6.8,7.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Nativity,U.S.-born,2022,6.6,6.2,7.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Nativity,U.S.-born,2023,6.9,6.5,7.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Nativity,U.S.-born,2024,8.7,8.2,9.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Nativity,Foreign-born,2019,10.2,9.1,11.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Nativity,Foreign-born,2020,8.3,7.2,9.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Nativity,Foreign-born,2021,6.7,5.8,7.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Nativity,Foreign-born,2022,8.6,7.5,9.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Nativity,Foreign-born,2023,8.3,7.4,9.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Nativity,Foreign-born,2024,8.4,7.5,9.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,American Indian and Alaska Native only,2019,10.5,6.3,16.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,American Indian and Alaska Native only,2020,6.1,3.4,10.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,American Indian and Alaska Native only,2021,10.3,6.7,14.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,American Indian and Alaska Native only,2024,9.7,5.5,15.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,Asian only,2019,3.5,2.5,4.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,Asian only,2020,3.5,2.4,5.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,Asian only,2021,3.1,2.3,4.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,Asian only,2022,4.3,3.2,5.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,Asian only,2023,3.3,2.4,4.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,Asian only,2024,3.8,2.9,5.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,Black only,2019,10.6,9.3,12.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,Black only,2020,8.3,7.2,9.7,Delayed Care
