Year,Barrier_Type,Demographic_Group,Highest_Subgroup,Highest_Rate,Lowest_Subgroup,Lowest_Rate,Disparity_Gap
2020,Delayed getting medical care due to cost,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,6.3,Private,1.5,4.8
2020,Delayed getting medical care due to cost,Health insurance coverage: Younger than 65 years,Uninsured,26.2,Private,5.6,20.6
2020,Delayed getting medical care due to cost,Poverty level,<100% FPL,13.2,≥200% FPL,5.6,7.6
2020,No medical care due to cost,Age groups with 65 years and older,50-64 years,8.0,65 years and older,2.3,5.7
2020,No medical care due to cost,Age groups with 75 years and older,45-64 years,7.9,75 years and older,1.5,6.4
2020,No medical care due to cost,Disability status,With disability,13.1,Without disability,6.0,7.1
2020,No medical care due to cost,Functioning difficulties status,With functioning difficulties,9.5,Without functioning difficulties,4.6,4.9
2020,No medical care due to cost,Marital status,Living with a partner,10.9,Widowed,4.1,6.800000000000001
2020,No medical care due to cost,Nativity,Foreign-born,7.5,U.S.-born,6.4,1.0999999999999996
2020,No medical care due to cost,Race,American Indian and Alaska Native only,8.3,Asian only,3.5,4.800000000000001
2020,No medical care due to cost,Race and Hispanic origin,"All races, Hispanic, Mexican",9.7,"Other races, non-Hispanic",5.0,4.699999999999999
2020,No medical care due to cost,Sex,Female,7.6,Male,5.6,2.0
2020,No medical care due to cost,Sexual orientation,Bisexual,17.1,Straight,6.3,10.8
2020,No medical care due to cost,Veteran status,Non-veteran,6.9,Veteran,3.5,3.4000000000000004
2020,No medical care due to cost,Metropolitan statistical area,Small MSA,7.4,Large MSA,6.1,1.3000000000000007
2020,No medical care due to cost,Region,South,8.1,Northeast,4.6,3.5
2020,No medical care due to cost,Social vulnerability,High social vulnerability,7.4,Little to no social vulnerability,5.4,2.0
2020,No medical care due to cost,Urbanicity,Medium and small metro,7.4,Large fringe metro,6.0,1.4000000000000004
2020,No medical care due to cost,Education,No high school diploma or GED,10.1,College degree or higher,3.9,6.199999999999999
2020,No medical care due to cost,Employment status,Employed - Part-time,7.7,Not employed - Has never worked,5.3,2.4000000000000004
2020,No medical care due to cost,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,5.3,Private,1.2,4.1
2020,No medical care due to cost,Health insurance coverage: Younger than 65 years,Uninsured,23.5,Private,4.6,18.9
2020,No medical care due to cost,Poverty level,<100% FPL,12.3,≥200% FPL,4.7,7.6000000000000005
2020,No mental health care due to cost,Age groups with 65 years and older,18-34 years,7.0,65 years and older,1.1,5.9
2020,No mental health care due to cost,Age groups with 75 years and older,18-44 years,6.4,75 years and older,0.4,6.0
2020,No mental health care due to cost,Disability status,With disability,7.5,Without disability,4.0,3.5
